"subj" "block" "trial" "stim" "target" "resp" "acc" "rt" "ITI" "difficulty" "task" "session"
46 "6" 2 "g" "g" "y" 1 702 1110 1 "adaptive" "001"
46 "6" 3 "B" "g" "n" 1 635 1339 1 "adaptive" "001"
46 "6" 4 "t" "b" "n" 1 751 1079 1 "adaptive" "001"
46 "6" 5 "B" "t" "n" 1 1136 800 1 "adaptive" "001"
46 "6" 6 "B" "b" "y" 1 885 823 1 "adaptive" "001"
46 "6" 7 "T" "b" "n" 1 719 858 1 "adaptive" "001"
46 "6" 8 "T" "t" "y" 1 635 620 1 "adaptive" "001"
46 "6" 9 "g" "t" "n" 1 835 1270 1 "adaptive" "001"
46 "6" 10 "G" "g" "y" 1 385 1062 1 "adaptive" "001"
46 "6" 11 "B" "g" "n" 1 736 901 1 "adaptive" "001"
46 "6" 12 "g" "b" "n" 1 919 1455 1 "adaptive" "001"
46 "6" 13 "G" "g" "y" 1 351 1279 1 "adaptive" "001"
46 "6" 14 "G" "g" "y" 1 635 1077 1 "adaptive" "001"
46 "6" 15 "t" "g" "n" 1 635 986 1 "adaptive" "001"
46 "6" 16 "B" "t" "n" 1 786 1120 1 "adaptive" "001"
46 "6" 17 "G" "b" "n" 1 902 1155 1 "adaptive" "001"
46 "6" 18 "G" "g" "y" 1 468 541 1 "adaptive" "001"
46 "6" 19 "G" "g" "y" 1 852 724 1 "adaptive" "001"
46 "6" 20 "b" "g" "n" 1 769 794 1 "adaptive" "001"
46 "7" 1 "t" NA "n" 1 1052 754 2 "adaptive" "001"
46 "7" 2 "G" NA "n" 1 635 1271 2 "adaptive" "001"
46 "7" 3 "G" "t" "y" 0 719 861 2 "adaptive" "001"
46 "7" 4 "B" "g" "n" 1 919 608 2 "adaptive" "001"
46 "7" 5 "b" "g" "n" 1 919 811 2 "adaptive" "001"
46 "7" 6 "T" "b" "n" 1 852 1338 2 "adaptive" "001"
46 "7" 7 "G" "b" "y" 0 635 998 2 "adaptive" "001"
46 "7" 8 "V" "t" "n" 1 686 905 2 "adaptive" "001"
46 "7" 9 "V" "g" "n" 1 1053 673 2 "adaptive" "001"
46 "7" 10 "V" "v" "y" 1 619 760 2 "adaptive" "001"
46 "7" 11 "v" "v" "y" 1 1386 1149 2 "adaptive" "001"
46 "7" 12 "b" "v" "n" 1 702 818 2 "adaptive" "001"
46 "7" 13 "T" "v" "n" 1 1253 1080 2 "adaptive" "001"
46 "7" 14 "t" "b" "n" 1 903 1268 2 "adaptive" "001"
46 "7" 15 "t" "t" "y" 1 302 1318 2 "adaptive" "001"
46 "7" 16 "v" "t" "y" 0 886 1374 2 "adaptive" "001"
46 "7" 17 "b" "t" "n" 1 585 612 2 "adaptive" "001"
46 "7" 18 "t" "v" "y" 0 1203 936 2 "adaptive" "001"
46 "7" 19 "B" "b" "y" 1 1286 1367 2 "adaptive" "001"
46 "7" 20 "v" "t" "n" 1 869 1385 2 "adaptive" "001"
